frame,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9
60,55.87202077675333,58.205593720544,164.31621765577012,164.09161216454598,107.53767834765424,112.77507971766299,133.7802907407169,143.6456496139983,145.94281952913036,148.7164314819146
61,55.615735345557034,58.28442348281749,164.19849163766963,164.0451469711527,108.44381525001968,115.25821360526585,135.5118752714402,141.824235535066,141.08034355407108,142.00887370276888
62,55.302253813739306,58.59043785810901,164.1723164636735,164.30013962584346,109.49274813127224,114.02946116295904,137.2147200933329,140.4497912268314,143.89481180523768,139.16160926579536
63,55.02863907755451,58.79022781931381,164.15400551282406,164.29320372888083,110.82797697913624,112.53016771812351,139.93908490361056,139.44000905095288,142.8414680187128,139.5543351557861
64,54.77187039720663,58.799108020051264,163.78725013605174,164.34904952582932,111.85355080258418,111.91963240730209,141.36171693173418,138.94324716878205,138.59707579880617,137.57570310541618
65,54.567053931754785,58.984918017474435,163.36738891263397,164.44898326975797,112.52383993710862,112.7672535139545,142.2785483551512,140.86730582397365,135.35212248225332,136.01762639958224
66,54.317821700845286,58.98862461827798,163.2617854252407,164.8756012126793,113.25685035352045,113.21276400358933,143.17820038608582,140.48650859178005,135.23302402014983,136.39662347287063
67,54.355609254496066,58.77621306436799,163.31002239291192,164.937915856321,114.18045989563738,114.703078039282,144.7648662385954,133.73248462793913,141.4383940667497,138.9824804562223
68,54.20359636079598,58.18851423536817,163.07240773184947,164.5698156501606,114.6262734911185,115.53635782211367,143.89990411310328,140.83838937290966,129.39643902464206,138.62031118905057
69,53.972598154145466,57.46353958670269,163.07356290638165,164.5479599103423,116.8105237539237,115.48407417919898,147.78478763336787,136.71966150521592,139.53423869981194,113.87959194698928
70,53.9324026175417,56.45238824682112,162.71611458882748,164.0884002573435,123.80393232796996,110.66523833551487,157.51181355143638,131.78810853742743,142.86319795397324,125.88846671896412
71,53.874505221072695,55.88116728221343,162.5312181536587,163.84799560658115,125.87882533491901,105.04187705852834,161.4898597084975,120.68771063705478,144.02698203890645,125.1727907695986
72,53.9478912771153,55.69764904981436,162.5353257749503,164.03680636798182,127.61311830754433,101.61550727036696,163.3005746004289,117.08107488769261,145.77336063636454,130.4133680104066
73,53.519494372004,54.86213593880446,162.45588771527474,165.17838786913242,128.78438139817467,99.70842506836723,164.01734614617618,104.77675412580294,146.86781101739987,141.95863392900952
74,53.4140985155222,54.31791157806189,162.56578976699618,165.07716179977302,131.32230511292548,97.37773652128139,167.18638442819565,102.68610410937907,147.3267815530716,145.51866456760695
75,53.040552721150085,53.89571271439353,162.61285733865725,164.98216894754276,132.0485961857984,95.64130958154601,167.302491041806,101.28884202218029,146.84570332317332,147.3862680412207
76,52.856602699506915,53.28349016031623,162.7198321653926,164.9599610180887,133.29661704962606,94.47124775661382,168.69463120036815,102.43449205014957,148.1880375736304,156.1607807491167
77,52.8121208721187,52.71586162856762,162.70262976695574,164.62728560255374,133.1823799148751,93.68681203785813,167.98247824080164,102.45185064082602,147.8263923141183,151.90712787381176
78,52.744464746029934,52.79901129257483,162.87711356305024,164.5938815333441,132.73025994415303,93.62247342987558,166.6666295718021,99.73762648628286,149.10094684890487,147.16396822670202
79,52.537985934086464,52.893987682642184,162.61001413317848,164.39118699354597,131.81920521417265,93.45455527280258,164.31727982165282,99.67258458464812,147.31090393287067,145.03683481246486
80,52.48841907190287,52.52884457184016,162.298516423392,164.17614696138475,131.28242818777753,94.39710485659755,162.7708568296577,102.18496465533576,147.4193821480754,145.0983596700538
81,52.32044177956767,52.37431448394314,161.43925968357925,163.62226246259476,130.74145627790173,95.72665011512531,160.8170995520793,105.97733785060231,148.35905655040366,147.12715022728145
82,52.10099707356023,52.315816727596015,160.78714957218082,162.4773700417428,129.51859854766357,95.68783923245053,156.53812567981956,107.70187946846062,151.3564612652987,145.83725953361596
